Code,Name,BranchCode
FMCG,FMCG,22
Finance,Finance,23
CCO,CCO,24
Risk and Compliance,Risk and Compliance,25
Projects & Maintenance,Projects & Maintenance,26
Fresh Food,Fresh Food,27
Management,Management,28
Human Resources,Human Resources,29
Warehouse,Warehouse,30
Purchasing,Purchasing,31
Commercial,Commercial,32
Information Technology,Information Technology,33
Operations,Operations,34
Quality Control,Quality Control,35
Marketing,Marketing,36
None Food,None Food,37
Business Cycle,Business Cycle,38
Financial Control and Internal Audit,Financial Control and Internal Audit,39
Customer Service,Customer Service,40
Fresh Food,Fresh Food,41
Legal,Legal,42
