"No","Module","Title","RazorFile","Route","URL","Type","DesignStatus","Notes"
"1","AccessRoles","أدوار الوصول","AccessRoles/Index.cshtml","/AccessRoles","https://zynorahr.com/AccessRoles","UI","Pending",""
"2","Account","تغيير كلمة المرور","Account/ChangePassword.cshtml","/Account/ChangePassword","https://zynorahr.com/Account/ChangePassword","UI","Pending",""
"3","Account","Account/Login.cshtml","Account/Login.cshtml","/Account/Login","https://zynorahr.com/Account/Login","UI","Pending",""
"4","Account","تسجيل الخروج","Account/Logout.cshtml","/Account/Logout","https://zynorahr.com/Account/Logout","Technical / API","Pending",""
"5","Acknowledgments","قوالب الإقرارات","Acknowledgments/Index.cshtml","/Acknowledgments","https://zynorahr.com/Acknowledgments","UI","Pending",""
"6","Acknowledgments","متابعة الإقرارات","Acknowledgments/Tracking.cshtml","/Acknowledgments/Tracking","https://zynorahr.com/Acknowledgments/Tracking","UI","Pending",""
"7","Alerts","لوحة التنبيهات والانتهاءات","Alerts/Index.cshtml","/Alerts","https://zynorahr.com/Alerts","UI","Pending",""
"8","Approvals","لجان الموافقات","Approvals/Committees.cshtml","/Approvals/Committees","https://zynorahr.com/Approvals/Committees","UI","Pending",""
"9","Approvals","الموافقات","Approvals/Index.cshtml","/Approvals","https://zynorahr.com/Approvals","UI","Pending",""
"10","Approvals","تقارير الموافقات","Approvals/Reports.cshtml","/Approvals/Reports","https://zynorahr.com/Approvals/Reports","UI","Pending",""
"11","AssetsManagement","إدارة العهد","AssetsManagement/Index.cshtml","/AssetsManagement","https://zynorahr.com/AssetsManagement","UI","Pending",""
"12","AttendanceCorrections","AttendanceCorrections/Index.cshtml","AttendanceCorrections/Index.cshtml","/AttendanceCorrections","https://zynorahr.com/AttendanceCorrections","UI","Pending",""
"13","AttendanceDashboard","رسومات الحضور","AttendanceDashboard/Index.cshtml","/AttendanceDashboard","https://zynorahr.com/AttendanceDashboard","UI","Pending",""
"14","AttendanceImports","AttendanceImports/Index.cshtml","AttendanceImports/Index.cshtml","/AttendanceImports","https://zynorahr.com/AttendanceImports","UI","Pending",""
"15","AttendanceOperations","إدارة الحضور","AttendanceOperations/Index.cshtml","/AttendanceOperations","https://zynorahr.com/AttendanceOperations","UI","Pending",""
"16","AttendanceProcessing","AttendanceProcessing/Index.cshtml","AttendanceProcessing/Index.cshtml","/AttendanceProcessing","https://zynorahr.com/AttendanceProcessing","UI","Pending",""
"17","AttendanceRecommendations","الإجراءات المقترحة","AttendanceRecommendations/Index.cshtml","/AttendanceRecommendations","https://zynorahr.com/AttendanceRecommendations","UI","Pending",""
"18","AttendanceRecords","إضافة سجل حضور","AttendanceRecords/Create.cshtml","/AttendanceRecords/Create","https://zynorahr.com/AttendanceRecords/Create","UI","Pending",""
"19","AttendanceRecords","حذف سجل حضور","AttendanceRecords/Delete.cshtml","/AttendanceRecords/Delete","https://zynorahr.com/AttendanceRecords/Delete","UI","Pending",""
"20","AttendanceRecords","تعديل سجل حضور","AttendanceRecords/Edit.cshtml","/AttendanceRecords/Edit","https://zynorahr.com/AttendanceRecords/Edit","UI","Pending",""
"21","AttendanceRecords","سجلات الحضور","AttendanceRecords/Index.cshtml","/AttendanceRecords","https://zynorahr.com/AttendanceRecords","UI","Pending",""
"22","AttendanceSettings","إعدادات الحضور","AttendanceSettings/Index.cshtml","/AttendanceSettings","https://zynorahr.com/AttendanceSettings","UI","Pending",""
"23","AttendanceViewer","مستعرض الحضور","AttendanceViewer/Index.cshtml","/AttendanceViewer","https://zynorahr.com/AttendanceViewer","UI","Pending",""
"24","AuditLogs","سجل التدقيق","AuditLogs/Index.cshtml","/AuditLogs","https://zynorahr.com/AuditLogs","UI","Pending",""
"25","BadgeCenter","مركز بطاقات الموظفين","BadgeCenter/Index.cshtml","/BadgeCenter","https://zynorahr.com/BadgeCenter","UI","Pending",""
"26","BiometricKeys","اعتماد مفاتيح البصمة/الوجه","BiometricKeys/Index.cshtml","/BiometricKeys","https://zynorahr.com/BiometricKeys","UI","Pending",""
"27","Branches","إضافة موقع عمل","Branches/Create.cshtml","/Branches/Create","https://zynorahr.com/Branches/Create","UI","Pending",""
