"Order","Component","Arabic","Usage","Canonical","Phase","Status"
"1","Buttons","الأزرار","1084","zy-btn","01","TO REVIEW"
"2","Inputs","حقول الإدخال","1756","zy-field / zy-input","02","TO REVIEW"
"3","Textarea","النص الطويل","91","zy-textarea","02","TO REVIEW"
"4","Select","القوائم المنسدلة","476","zy-select","03","TO REVIEW"
"5","Checkbox","Checkbox","214","zy-check","03","TO REVIEW"
"6","Radio","Radio","52","zy-radio","03","MISSING / REVIEW"
"7","Date Picker","التاريخ والكلاندر","127","TO DECIDE","04","HIGH PRIORITY"
"8","Time Picker","اختيار الوقت","26","TO DECIDE","04","HIGH PRIORITY"
"9","File Upload","رفع الملفات","46","zy-upload","05","TO REVIEW"
"10","Cards","البطاقات","631","zy-card","06","TO REVIEW"
"11","KPI / Stat","بطاقات المؤشرات","423","zy-stat","06","TO REVIEW"
"12","Badge","الحالات والشارات","288","zy-badge","06","TO REVIEW"
"13","Table","الجداول","144","zy-table","07","TO REVIEW"
"14","Pagination","ترقيم الصفحات","16","zy-pagination","07","TO REVIEW"
"15","Modal","النوافذ","276","zy-modal","08","TO REVIEW"
"16","Drawer","Drawer","4","zy-drawer","08","TO REVIEW"
"17","Tabs","التبويبات","379","zy-tabs / zy-tab","09","TO REVIEW"
"18","Alert / Toast","التنبيهات","177","zy-alert / zy-toast","09","TO REVIEW"
