FilePath,Project,Extension,Classification,AuditStatus,Notes
.claude/launch.json,.claude,json,SOURCE,NOT REVIEWED,
.env.example,<root>,example,SOURCE,NOT REVIEWED,
.github/pull_request_template.md,.github,md,DOCUMENTATION,NOT REVIEWED,reference only - not source of truth
.github/workflows/ci.yml,.github,yml,SOURCE,NOT REVIEWED,
.gitignore,<root>,gitignore,SOURCE,NOT REVIEWED,
AGENTS.md,<root>,md,DOCUMENTATION,NOT REVIEWED,reference only - not source of truth
CLAUDE.md,<root>,md,DOCUMENTATION,NOT REVIEWED,reference only - not source of truth
MULTI-TENANT-ISOLATION-SCAN.md,<root>,md,DOCUMENTATION,NOT REVIEWED,reference only - not source of truth
PRODUCTION-HARDENING-DECISION.md,<root>,md,DOCUMENTATION,NOT REVIEWED,reference only - not source of truth
SmartAttendance.API/Program.cs,SmartAttendance.API,cs,SOURCE,NOT REVIEWED,
SmartAttendance.API/Properties/launchSettings.json,SmartAttendance.API,json,SOURCE,NOT REVIEWED,
SmartAttendance.API/README.md,SmartAttendance.API,md,DOCUMENTATION,NOT REVIEWED,reference only - not source of truth
SmartAttendance.API/SmartAttendance.API.csproj,SmartAttendance.API,csproj,SOURCE,NOT REVIEWED,
SmartAttendance.API/SmartAttendance.API.http,SmartAttendance.API,http,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Announcements/Models/AnnouncementModels.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/Announcements/Services/IAnnouncementService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceImports/Services/AttendanceImportLimits.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceImports/Services/AttendanceImportScope.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceImports/Services/IAttendanceImportService.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceImports/ViewModels/AttendanceImportPreviewViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
SmartAttendance.Application/AttendanceImports/ViewModels/AttendanceImportResultViewModel.cs,SmartAttendance.Application,cs,SOURCE,NOT REVIEWED,
